Below average              - ниже среднего
Thick                      - толстый (книга)
Athlete                    - атлет
Acquaintance               - знакомый
Shy                        - застенчивый
Wedding                    - свадьба
goal                       - цель
Score a goal               - забивать гол
Univers                    - вселенная
Responsibility             - обязанность, ответственность
Desire                     - желание
Relations                  - отношения
Pit                        - яма
Talk                       - разговаривать
Split split split          - расставаться
Boast                      - хвастаться
Call of                    - отменить
Disturb                    - мешать
Suit                       - подходить (по)
Expect                     - ожидать
